verb_lemma	verb_freq	expected_caus_freq	caus_freq	diff
gerek	17912	1074.72	2128.0	-1053.28
yüksel	13694	821.64	1926.0	-1104.36
uğra	8003	480.18	1667.0	-1186.82
uzaklaş	2781	166.86	1372.0	-1205.14
fırla	1526	91.56	1349.0	-1257.44
başla	79667	4780.02	6050.0	-1269.98
düzel	1651	99.06	1374.0	-1274.94
nitelen	1832	109.92	1538.0	-1428.08
güçlen	1626	97.56	1626.0	-1528.44
uza	7705	462.3	2051.0	-1588.7
tanı	18683	1120.98	2712.0	-1591.02
kısal	1927	115.62	1727.0	-1611.38
karış	4506	270.36	2154.0	-1883.64
art	13764	825.84	2777.0	-1951.16
dol	3406	204.36	2183.0	-1978.64
genişle	4346	260.76	2315.0	-2054.24
azal	6632	397.92	2565.0	-2167.08
bil	39448	2366.88	4537.0	-2170.12
bas	8800	528.0	2716.0	-2188.0
yansı	4026	241.56	2463.0	-2221.44
dur	9874	592.44	3085.0	-2492.56
dönüş	7500	450.0	3072.0	-2622.0
in	6282	376.92	3340.0	-2963.08
barın	3628	217.68	3233.0	-3015.32
birleş	12251	735.06	4154.0	-3418.94
yerleş	14057	843.42	4306.0	-3462.58
sal	5229	313.74	3996.0	-3682.26
kapa	6538	392.28	4202.0	-3809.72
yetiş	8139	488.34	4464.0	-3975.66
işle	11084	665.04	4734.0	-4068.96
canlan	6083	364.98	5551.0	-5186.02
seslen	6143	368.58	5754.0	-5385.42
yürü	11937	716.22	7700.0	-6983.78
sür	34202	2052.12	11391.0	-9338.88
değiş	20255	1215.3	11821.0	-10605.7
belir	14211	852.66	13404.0	-12551.34
öl	31008	1860.48	14474.0	-12613.52
geliş	30925	1855.5	15349.0	-13493.5
üre	16817	1009.02	14793.0	-13783.98
çık	85091	5105.46	24649.0	-19543.54
oluş	59247	3554.82	28318.0	-24763.18
i	88483	5308.98		
gel	73048	4382.88		
göster	41322	2479.32		
geç	38235	2294.1		
kat	32003	1920.18		
git	26060	1563.6		
alın	23766	1425.96		
açıkla	15327	919.62		
düş	13880	832.8		
savun	13578	814.68		
içer	12414	744.84		
belirle	10707	642.42		
yen(II)	10059	603.54		
başar	9065	543.9		
anlaş	8472	508.32		
an	8205	492.3		
duy	8131	487.86		
destekle	7341	440.46		
öğren	7170	430.2		
kaç	7050	423.0		
kurtul	6588	395.28		
görün	5969	358.14		
kuşat	5082	304.92		
sergile	5031	301.86		
planla	4837	290.22		
besle	4767	286.02		
uç	4567	274.02		
kapsa	4514	270.84		
sırala	4294	257.64		
anla	3911	234.66		
ak	3391	203.46		
öner	3294	197.64		
çevril	3264	195.84		
dağıl	3212	192.72		
kalk	3103	186.18		
diren	3050	183.0		
yitir	2887	173.22		
suçla	2774	166.44		
san	2669	160.14		
önle	2631	157.86		
yarala	2582	154.92		
tüket	2294	137.64		
giriş	2256	135.36		
kaybol	2207	132.42		
derle	2158	129.48		
kirala	2125	127.5		
yönlendir	2026	121.56		
sapta	2016	120.96		
öngör	2007	120.42		
çağrıl	1927	115.62		
başvur	1922	115.32		
amaçla	1837	110.22		
gözlemle	1822	109.32		
gözle	1789	107.34		
esinle	1707	102.42		
vurgula	1636	98.16		
takıl	1635	98.1		
öğret	1536	92.16		
fethet	1516	90.96		
ilet	1486	89.16		
kork	1447	86.82		
depola	1396	83.76		
yet	1354	81.24		
kısıtla	1312	78.72		
hedefle	1307	78.42		
kop	1260	75.6		
emret	1249	74.94		
odakla	1223	73.38		
pazarla	1210	72.6		
soruştur	1194	71.64		
yara	1174	70.44		
bat	1171	70.26		
programla	1137	68.22		
gider	1136	68.16		
pişir	1135	68.1		
tepki	1038	62.28		
varsay	1024	61.44		
kaçın	1014	60.84		
sınırla	1006	60.36		
eğit	982	58.92		
aydınlat	982	58.92		
andır	979	58.74		
ısıt	969	58.14		
güncelle	961	57.66		
devral	934	56.04		
dile	915	54.9		
ateşle	884	53.04		
çözümle	872	52.32		
ünle	863	51.78		
hoşlan	861	51.66		
görüntüle	810	48.6		
kodla	799	47.94		
ilişkilendir	765	45.9		
şifrele	745	44.7		
um	744	44.64		
simgele	733	43.98		
karşılaştır	731	43.86		
çevrele	719	43.14		
yıka	708	42.48		
sakatla	703	42.18		
güt	686	41.16		
devril	662	39.72		
devir	650	39.0		
göç	647	38.82		
indirge	636	38.16		
sars	635	38.1		
boşal	629	37.74		
toparla	587	35.22		
çekin	583	34.98		
katlan	581	34.86		
kastet	571	34.26		
kıyasla	552	33.12		
noktala	534	32.04		
işaretle	517	31.02		
hükmet	510	30.6		
nitele	509	30.54		
atfet	506	30.36		
kopyala	489	29.34		
ser	470	28.2		
sına	470	28.2		
salla	466	27.96		
tetikle	466	27.96		
aldat	461	27.66		
piş	450	27.0		
yum	448	26.88		
kaydol	445	26.7		
bük	442	26.52		
yinele	441	26.46		
gözet	441	26.46		
kına	436	26.16		
yetin	427	25.62		
daral	423	25.38		
soğu	411	24.66		
sürtün	410	24.6		
kas	384	23.04		
düğ	381	22.86		
soyutla	379	22.74		
tapın	378	22.68		
dengele	368	22.08		
sıkıl	367	22.02		
yazış	365	21.9		
harmanla	361	21.66		
yor	358	21.48		
ağırla	351	21.06		
dölle	349	20.94		
gözetle	344	20.64		
soğut	341	20.46		
modelle	336	20.16		
taş	333	19.98		
soğur	327	19.62		
kışkırt	307	18.42		
irdele	304	18.24		
hizala	304	18.24		
nişanla	304	18.24		
şiş	299	17.94		
yardımlaş	298	17.88		
sark	293	17.58		
alla	290	17.4		
arıt	287	17.22		
yalvar	277	16.62		
örnekle	266	15.96		
silk	262	15.72		
küçümse	257	15.42		
öğüt	256	15.36		
sınıfla	254	15.24		
bayıl	254	15.24		
salıver	249	14.94		
çabala	249	14.94		
yakın	249	14.94		
kıvrıl	248	14.88		
yırt	248	14.88		
zikret	243	14.58		
tertiple	235	14.1		
hallet	233	13.98		
akla	231	13.86		
zamanla	230	13.8		
sı	226	13.56		
kazın	225	13.5		
paketle	224	13.44		
danış	217	13.02		
abart	216	12.96		
sıyrıl	214	12.84		
tiple	211	12.66		
oksitle	210	12.6		
diril	206	12.36		
dür	205	12.3		
yalıt	204	12.24		
haşla	203	12.18		
yeğle	202	12.12		
üfle	201	12.06		
ayıkla	201	12.06		
lağvet	200	12.0		
bıçakla	190	11.4		
lanetle	189	11.34		
yu	189	11.34		
damıt	188	11.28		
buyur	187	11.22		
hesaplaş	186	11.16		
süpür	185	11.1		
garantile	183	10.98		
kirlet	183	10.98		
başkaldır	181	10.86		
emzir	181	10.86		
takın	179	10.74		
yıprat	177	10.62		
çırp	177	10.62		
kamulaştır	176	10.56		
yanıtla	176	10.56		
büyüle	173	10.38		
cevapla	172	10.32		
puanla	168	10.08		
eşitle	163	9.78		
sömür	162	9.72		
arzula	161	9.66		
oyala	158	9.48		
katla	158	9.48		
doğra	157	9.42		
sıva	156	9.36		
esirge	156	9.36		
kenetle	152	9.12		
kavur	149	8.94		
sav	148	8.88		
klonla	147	8.82		
yadsı	147	8.82		
kolla	143	8.58		
mayala	142	8.52		
sürtüş	140	8.4		
tamla	138	8.28		
alıkoy	138	8.28		
kok	138	8.28		
etiketle	137	8.22		
daralt	137	8.22		
mektuplaş	134	8.04		
doyur	133	7.98		
ona	132	7.92		
yasla	132	7.92		
becer	131	7.86		
yen(I)	130	7.8		
kovuştur	130	7.8		
kavrul	130	7.8		
cezbet	127	7.62		
haykır	127	7.62		
listele	126	7.56		
pompala	126	7.56		
kırp	125	7.5		
rahatsızlan	124	7.44		
yont	124	7.44		
alkışla	122	7.32		
dizile	120	7.2		
gereksin	120	7.2		
körükle	116	6.96		
ısmarla	116	6.96		
tuzakla	115	6.9		
toprakla	115	6.9		
bahşet	114	6.84		
yer	114	6.84		
karala	113	6.78		
sivril	112	6.72		
savrul	112	6.72		
buy	111	6.66		
etki	111	6.66		
övün	110	6.6		
der	109	6.54		
kuşan	106	6.36		
dala	105	6.3		
addet	103	6.18		
şaş	102	6.12		
mahvet	102	6.12		
değerle	100	6.0		
kundakla	99	5.94		
büz	99	5.94		
kucakla	99	5.94		
zonkla	99	5.94		
yedekle	98	5.88		
doğrult	98	5.88		
incit	98	5.88		
savur	96	5.76		
bunal	96	5.76		
buda	94	5.64		
dayat	94	5.64		
arşivle	94	5.64		
ışınla	94	5.64		
hırpala	93	5.58		
çeşitle	93	5.58		
genelle	93	5.58		
bayılt	92	5.52		
frenle	91	5.46		
filizle	91	5.46		
mumyala	91	5.46		
burk	91	5.46		
tümle	90	5.4		
yakınsa	89	5.34		
uğurla	89	5.34		
hapsol	88	5.28		
çalkala	87	5.22		
daya	87	5.22		
tükür	86	5.16		
eksil	85	5.1		
devşir	84	5.04		
hicvet	84	5.04		
indükle	84	5.04		
istifle	83	4.98		
bert	83	4.98		
yoğrul	83	4.98		
donan	82	4.92		
fırınla	81	4.86		
perçinle	81	4.86		
gölgele	80	4.8		
umursa	78	4.68		
azarla	78	4.68		
turla	77	4.62		
örtün	77	4.62		
şakı	77	4.62		
müjdele	77	4.62		
susa	76	4.56		
kayır	76	4.56		
çel	76	4.56		
kötüle	76	4.56		
ov	75	4.5		
raporla	74	4.44		
şişir	74	4.44		
gübrele	71	4.26		
yala	71	4.26		
fısılda	71	4.26		
taşır	70	4.2		
alıntıla	69	4.14		
yuvala	69	4.14		
göğüsle	68	4.08		
ilaçla	68	4.08		
vakfet	68	4.08		
aşer	67	4.02		
öğütle	66	3.96		
makyajla	65	3.9		
tuzla	65	3.9		
tavla	65	3.9		
kemir	64	3.84		
güneşle	64	3.84		
tanıla	64	3.84		
torpille	64	3.84		
yol	63	3.78		
dilimle	63	3.78		
serpiştir	63	3.78		
eğir	63	3.78		
stokla	62	3.72		
sönümle	61	3.66		
vedalaş	61	3.66		
tazele	61	3.66		
koç	60	3.6		
fotoğrafla	60	3.6		
dona	59	3.54		
sağ	59	3.54		
mahmuzla	59	3.54		
elver	58	3.48		
azımsa	58	3.48		
ikile	57	3.42		
ayart	56	3.36		
yakar	55	3.3		
maskele	55	3.3		
zulmet	54	3.24		
eklemle	54	3.24		
kireçle	54	3.24		
vadet	54	3.24		
arızalan	53	3.18		
çat	53	3.18		
havla	53	3.18		
sırtla	53	3.18		
düşle	53	3.18		
pozla	52	3.12		
bütünle	52	3.12		
ufala	51	3.06		
sataş	51	3.06		
presle	51	3.06		
içerle	51	3.06		
katalogla	51	3.06		
kükre	50	3.0		
yun	50	3.0		
cilala	50	3.0		
ürk	50	3.0		
aldan	50	3.0		
mahvol	50	3.0		
dire	49	2.94		
şişele	49	2.94		
yort	49	2.94		
yankıla	48	2.88		
okşa	48	2.88		
ölçekle	48	2.88		
şükret	48	2.88		
yelten	48	2.88		
melezle	48	2.88		
bölümle	48	2.88		
kurşunla	47	2.82		
ölçüş	46	2.76		
düğümle	46	2.76		
rendele	46	2.76		
bordala	45	2.7		
arala	45	2.7		
tabakla	44	2.64		
demle	44	2.64		
güdümle	44	2.64		
çaprazla	43	2.58		
kümele	43	2.58		
incin	43	2.58		
ıskala	42	2.52		
sarkıt	42	2.52		
dizginle	42	2.52		
kak	41	2.46		
çırpın	41	2.46		
öykün	41	2.46		
lekele	41	2.46		
ürküt	41	2.46		
il	41	2.46		
ulu	40	2.4		
yoksun	40	2.4		
diret	40	2.4		
tüne	40	2.4		
kaşı	40	2.4		
baltala	40	2.4		
tersin	40	2.4		
lehimle	40	2.4		
tekmele	39	2.34		
eksilt	39	2.34		
buna	39	2.34		
fırçala	39	2.34		
montajla	38	2.28		
konumla	38	2.28		
kon(II)	38	2.28		
gev	38	2.28		
ambalajla	38	2.28		
mırıldan	38	2.28		
akaçla	38	2.28		
buzlan	38	2.28		
ıraksa	37	2.22		
büyült	37	2.22		
alıkonul	37	2.22		
perdele	36	2.16		
grupla	36	2.16		
postala	36	2.16		
tomurcuklan	35	2.1		
ölçümle	35	2.1		
tütsüle	34	2.04		
kar	34	2.04		
iğnele	34	2.04		
ayıpla	34	2.04		
sarmala	34	2.04		
düz	34	2.04		
emekle	34	2.04		
harla	33	1.98		
eş	33	1.98		
ota	33	1.98		
kaçış	33	1.98		
palazla	32	1.92		
eğril	32	1.92		
boğumla	32	1.92		
öksür	32	1.92		
kamçıla	31	1.86		
yeniş	31	1.86		
tırmala	31	1.86		
evir	31	1.86		
mıknatıslan	31	1.86		
bun	30	1.8		
avut	30	1.8		
sabırsızlan	30	1.8		
sayıkla	30	1.8		
tasla	30	1.8		
mükâfatlandır	30	1.8		
beyazlat	29	1.74		
gıdıkla	29	1.74		
sabret	29	1.74		
pus	29	1.74		
doluş	29	1.74		
tökezle	29	1.74		
kokuş	28	1.68		
didiş	28	1.68		
yed	28	1.68		
uslamla	27	1.62		
yokla	27	1.62		
sın	27	1.62		
methet	26	1.56		
hapşır	26	1.56		
çömel	26	1.56		
yumrukla	26	1.56		
yama	26	1.56		
gagala	26	1.56		
defet	25	1.5		
ötele	25	1.5		
tohumla	25	1.5		
tokatla	25	1.5		
çivile	25	1.5		
küfret	25	1.5		
buğula	25	1.5		
eşele	25	1.5		
ban	25	1.5		
söv	25	1.5		
sıfırla	24	1.44		
yutkun	24	1.44		
kekele	24	1.44		
imle	24	1.44		
deş	24	1.44		
dürt	24	1.44		
açkıla	24	1.44		
kurcala	23	1.38		
törpüle	23	1.38		
ortala	23	1.38		
örsele	23	1.38		
hecele	23	1.38		
sendele	23	1.38		
katıl	23	1.38		
çıkış	23	1.38		
uyukla	23	1.38		
vazifelendir	23	1.38		
zıtlaş	23	1.38		
hasret	22	1.32		
gecele	22	1.32		
dörtle	22	1.32		
hikâyele	22	1.32		
terasla	22	1.32		
bulgula	21	1.26		
alar	21	1.26		
vergile	21	1.26		
ay	21	1.26		
panikle	21	1.26		
böbürlen	20	1.2		
artakal	20	1.2		
közle	20	1.2		
dil	20	1.2		
yükseltge	20	1.2		
göçür	20	1.2		
tezgâhla	20	1.2		
ihtisaslaş	20	1.2		
üstele	20	1.2		
çalımla	20	1.2		
didin	20	1.2		
kanıksa	20	1.2		
paslaş	20	1.2		
dadan	19	1.14		
kert	19	1.14		
hayıflan	19	1.14		
kelepçele	19	1.14		
akdet	19	1.14		
bürü	19	1.14		
selamlaş	19	1.14		
yalpala	19	1.14		
azlolun	19	1.14		
avun	19	1.14		
dosyala	19	1.14		
paralelleştir	19	1.14		
öyküle	18	1.08		
silkin	18	1.08		
sıvazla	18	1.08		
sivrilt	18	1.08		
yaldızla	18	1.08		
ıh	18	1.08		
özdeştir	18	1.08		
nicele	18	1.08		
sevdalan	18	1.08		
göze	18	1.08		
defol	18	1.08		
söyleş	17	1.02		
dalaş	17	1.02		
bakın	17	1.02		
süblimleş	17	1.02		
kalıpla	17	1.02		
böğür	17	1.02		
numarala	17	1.02		
ula	17	1.02		
miyavla	17	1.02		
haddele	17	1.02		
sezinle	17	1.02		
gülüş	17	1.02		
şakalaş	16	0.96		
külle	16	0.96		
bunalt	16	0.96		
çekil	16	0.96		
çullan	16	0.96		
öncele	16	0.96		
dinamitle	16	0.96		
homurdan	15	0.9		
tersle	15	0.9		
bayramlaş	15	0.9		
yetir	15	0.9		
ağ	15	0.9		
yaftala	14	0.84		
sayımla	14	0.84		
morar	14	0.84		
silkele	14	0.84		
fişle	14	0.84		
doğaçla	14	0.84		
hıçkır	14	0.84		
bozuş	14	0.84		
bodosla	14	0.84		
oranla	14	0.84		
solla	14	0.84		
kahret	13	0.78		
boşla	13	0.78		
hırla	13	0.78		
yon	13	0.78		
hatmet	13	0.78		
sırıt	13	0.78		
dit	13	0.78		
bandır	13	0.78		
menet	13	0.78		
kırk	13	0.78		
tuşla	13	0.78		
takış	13	0.78		
topaklan	13	0.78		
üşüş	13	0.78		
itiş	12	0.72		
saçmala	12	0.72		
geğir	12	0.72		
formatla	12	0.72		
kıllan	12	0.72		
tamponla	12	0.72		
suvar	12	0.72		
ispiyonla	12	0.72		
küflen	12	0.72		
kahrol	12	0.72		
yemle	12	0.72		
perdahla	12	0.72		
oynaş	12	0.72		
yaraş	12	0.72		
hiddetlen	12	0.72		
kurula	12	0.72		
üsten	11	0.66		
sallandır	11	0.66		
rüzgârla	11	0.66		
haydala	11	0.66		
on	11	0.66		
süngüle	11	0.66		
çeşnile	11	0.66		
itekle	11	0.66		
gönen	11	0.66		
garipse	11	0.66		
sırla	11	0.66		
kazıkla	11	0.66		
kefenle	11	0.66		
toz	11	0.66		
köhne	11	0.66		
hallol	11	0.66		
endeksle	11	0.66		
ovuştur	11	0.66		
dinel	10	0.6		
berkit	10	0.6		
körlen	10	0.6		
üfür	10	0.6		
kutula	10	0.6		
sağalt	10	0.6		
ornat	10	0.6		
tokalaş	10	0.6		
sayfala	10	0.6		
vahyolun	10	0.6		
defnolun	10	0.6		
durula	10	0.6		
bulutlan	10	0.6		
klorla	10	0.6		
bağrış	10	0.6		
alazla	10	0.6		
markala	10	0.6		
nakşet	10	0.6		
topalla	10	0.6		
ütüle	10	0.6		
mimle	10	0.6		
akortla	10	0.6		
tepele	10	0.6		
kalayla	10	0.6		
dertleş	10	0.6		
bört	10	0.6		
debelen	10	0.6		
fiyatla	10	0.6		
bekin	10	0.6		
çığır	9	0.54		
zırhlan	9	0.54		
pohpohla	9	0.54		
tısla	9	0.54		
ovala	9	0.54		
köstekle	9	0.54		
kamala	9	0.54		
vidala	9	0.54		
tasarımla	9	0.54		
ilikle	9	0.54		
rastlaş	9	0.54		
savla	9	0.54		
ayakla	9	0.54		
didikle	9	0.54		
mıhla	9	0.54		
değir	9	0.54		
adımla	9	0.54		
hazzet	9	0.54		
ofla	9	0.54		
tortulan	9	0.54		
zırhlandır	9	0.54		
antlaş	9	0.54		
dövün	9	0.54		
acındır	9	0.54		
vakumla	9	0.54		
boyla	9	0.54		
affolun	8	0.48		
üşen	8	0.48		
anıştır	8	0.48		
bay	8	0.48		
bakış	8	0.48		
tekle	8	0.48		
uğulda	8	0.48		
evetle	8	0.48		
nasbet	8	0.48		
peydahla	8	0.48		
sıvış	8	0.48		
eğle	8	0.48		
başka	8	0.48		
ıslıkla	8	0.48		
lütfet	8	0.48		
uzaksa	8	0.48		
çoğulla	8	0.48		
helalleş	8	0.48		
vernikle	8	0.48		
tepin	8	0.48		
kıkırda	8	0.48		
yarıla	8	0.48		
yayla	8	0.48		
imgele	8	0.48		
cızla	8	0.48		
birle	8	0.48		
ılga	8	0.48		
ebele	8	0.48		
güdüle	8	0.48		
kumla	8	0.48		
irk	8	0.48		
makasla	8	0.48		
sayış	8	0.48		
astarla	7	0.42		
ıkın	7	0.42		
oydaş	7	0.42		
dizinle	7	0.42		
inatlaş	7	0.42		
balyala	7	0.42		
süs	7	0.42		
çalka	7	0.42		
sonla	7	0.42		
pençeleş	7	0.42		
omuzla	7	0.42		
okla	7	0.42		
patakla	7	0.42		
tıraşla	7	0.42		
yığış	7	0.42		
pıs	7	0.42		
süratlen	7	0.42		
azıt	7	0.42		
vızılda	7	0.42		
yumruklaş	7	0.42		
frezele	7	0.42		
cepheleş	6	0.36		
hakla	6	0.36		
yas	6	0.36		
malala	6	0.36		
çap	6	0.36		
tembihle	6	0.36		
sabahla	6	0.36		
galvanizle	6	0.36		
hidrojenle	6	0.36		
çav	6	0.36		
torbala	6	0.36		
eğele	6	0.36		
çiftle	6	0.36		
kırın	6	0.36		
kokut	6	0.36		
bekleş	6	0.36		
payla	6	0.36		
soluklan	6	0.36		
bele	6	0.36		
budaklan	6	0.36		
faksla	6	0.36		
faturala	6	0.36		
başakla	6	0.36		
üt	6	0.36		
küfürleş	6	0.36		
çöreklen	6	0.36		
gümrükle	6	0.36		
berele	6	0.36		
çağ	6	0.36		
ged	6	0.36		
ilen	6	0.36		
çim	6	0.36		
öğür	6	0.36		
çekiçle	6	0.36		
pudrala	6	0.36		
ulula	6	0.36		
çağla	6	0.36		
iletiş	6	0.36		
jurnalle	6	0.36		
yellen	6	0.36		
sancılan	6	0.36		
bantla	6	0.36		
yansıla	6	0.36		
sargıla	6	0.36		
yaylan	6	0.36		
gerin	6	0.36		
gevele	6	0.36		
yağmurla	6	0.36		
kaytar	6	0.36		
koyult	5	0.3		
halkala	5	0.3		
tutkalla	5	0.3		
kükürtle	5	0.3		
denkle	5	0.3		
bırakış	5	0.3		
hayla	5	0.3		
özdeşle	5	0.3		
sarmaş	5	0.3		
çisele	5	0.3		
tapula	5	0.3		
gammazla	5	0.3		
koca	5	0.3		
esri	5	0.3		
koyver	5	0.3		
üçle	5	0.3		
mumla	5	0.3		
deneyle	5	0.3		
yangılan	5	0.3		
sapıt	5	0.3		
yamal	5	0.3		
sobele	5	0.3		
itele	5	0.3		
ırgan	5	0.3		
çelikle	5	0.3		
katranla	5	0.3		
neşrolun	5	0.3		
çapala	5	0.3		
randevulaş	5	0.3		
gasbet	5	0.3		
savul	5	0.3		
çöğ	5	0.3		
dercet	5	0.3		
nalla	5	0.3		
yalazla	5	0.3		
dürtükle	5	0.3		
sanç	5	0.3		
tasalan	4	0.24		
rampala	4	0.24		
kızakla	4	0.24		
yel	4	0.24		
efsunla	4	0.24		
tın	4	0.24		
sepile	4	0.24		
ut	4	0.24		
kılıfla	4	0.24		
kabuklan	4	0.24		
ayrımla	4	0.24		
nazlan	4	0.24		
nakışla	4	0.24		
biliş	4	0.24		
hükmolun	4	0.24		
kırpış	4	0.24		
otala	4	0.24		
genel	4	0.24		
çapulla	4	0.24		
göy	4	0.24		
kubaş	4	0.24		
kubar	4	0.24		
alaşımla	4	0.24		
tün	4	0.24		
büyüklen	4	0.24		
banla	4	0.24		
küre	4	0.24		
koşulla	4	0.24		
siy	4	0.24		
fokurda	4	0.24		
cebelleş	4	0.24		
sonuçla	4	0.24		
silola	4	0.24		
kırıt	4	0.24		
buzağıla	4	0.24		
huysuzlan	4	0.24		
huylan	4	0.24		
haccet	4	0.24		
savsakla	4	0.24		
kavla	4	0.24		
sızır	4	0.24		
seyreyle	4	0.24		
gürülde	4	0.24		
merkezle	4	0.24		
dayanış	4	0.24		
sekile	4	0.24		
nefyet	3	0.18		
yalabı	3	0.18		
gazla	3	0.18		
karele	3	0.18		
ergür	3	0.18		
çapkı	3	0.18		
kesele	3	0.18		
mırla	3	0.18		
arşınla	3	0.18		
fısıldaş	3	0.18		
esir	3	0.18		
eser	3	0.18		
jiletle	3	0.18		
rötuşla	3	0.18		
yerin	3	0.18		
açımla	3	0.18		
üş	3	0.18		
dönen	3	0.18		
çiziktir	3	0.18		
kakış	3	0.18		
tornala	3	0.18		
yaltaklan	3	0.18		
tavsa	3	0.18		
ensele	3	0.18		
bağda	3	0.18		
sopala	3	0.18		
badanala	3	0.18		
haşılla	3	0.18		
zımbala	3	0.18		
çevrile	3	0.18		
ötüş	3	0.18		
celbet	3	0.18		
tüy	3	0.18		
parala	3	0.18		
zamkla	3	0.18		
kafesle	3	0.18		
kargı	3	0.18		
örnekse	3	0.18		
ödünçle	3	0.18		
devrolun	3	0.18		
zikrolun	3	0.18		
yadımla	3	0.18		
harekele	3	0.18		
sağal	3	0.18		
tosla	3	0.18		
sarsala	3	0.18		
zimmetle	3	0.18		
karbonatla	3	0.18		
çevrin	3	0.18		
şartla	3	0.18		
menevişle	3	0.18		
kep	3	0.18		
demetlen	3	0.18		
sürgüle	3	0.18		
hortumla	3	0.18		
gümbürde	3	0.18		
alçıla	3	0.18		
fitille	3	0.18		
halet	3	0.18		
keyfet	3	0.18		
briketle	3	0.18		
yazla	3	0.18		
pörsü	3	0.18		
masset	3	0.18		
beşle	3	0.18		
köpüklen	3	0.18		
nötrle	3	0.18		
tabet	3	0.18		
koklaş	2	0.12		
süzgeçle	2	0.12		
parmakla	2	0.12		
beneklen	2	0.12		
bölgele	2	0.12		
şerbetle	2	0.12		
çent	2	0.12		
polar	2	0.12		
kinlen	2	0.12		
tasnifle	2	0.12		
sepele	2	0.12		
kancala	2	0.12		
notala	2	0.12		
vehmet	2	0.12		
şırılda	2	0.12		
parametrele	2	0.12		
diklen	2	0.12		
anır	2	0.12		
dipçikle	2	0.12		
zıpkınla	2	0.12		
çelmele	2	0.12		
bandajla	2	0.12		
sırı	2	0.12		
siyanürle	2	0.12		
sayla	2	0.12		
vınla	2	0.12		
sekit	2	0.12		
guslet	2	0.12		
alala	2	0.12		
kırkla	2	0.12		
erginle	2	0.12		
ahdet	2	0.12		
destele	2	0.12		
topakla	2	0.12		
barikatla	2	0.12		
kıskaçla	2	0.12		
kürne	2	0.12		
deşele	2	0.12		
ırgala	2	0.12		
yivle	2	0.12		
titizlen	2	0.12		
desenle	2	0.12		
okra	2	0.12		
orantıla	2	0.12		
röntgenle	2	0.12		
kıp	2	0.12		
açıl	2	0.12		
gümüşle	2	0.12		
çöm	2	0.12		
osur	2	0.12		
efkârlan	2	0.12		
kürü	2	0.12		
soğanla	2	0.12		
dikel	2	0.12		
yongala	2	0.12		
cevret	2	0.12		
vakla	2	0.12		
ilmekle	2	0.12		
zamlan	2	0.12		
örgüle	2	0.12		
sabunla	2	0.12		
öze	2	0.12		
serdet	2	0.12		
çağılda	2	0.12		
özgüle	2	0.12		
dişle	2	0.12		
tanele	2	0.12		
pırılda	2	0.12		
şampuanla	2	0.12		
nurlan	2	0.12		
renkle	2	0.12		
mıncıkla	2	0.12		
muştula	2	0.12		
yaslan	2	0.12		
çulla	2	0.12		
uğun	2	0.12		
yarlıga	2	0.12		
kepeklen	2	0.12		
kaşele	2	0.12		
boyala	2	0.12		
çimdikle	2	0.12		
çuvalla	2	0.12		
kalburla	2	0.12		
gedil	2	0.12		
tırmıkla	2	0.12		
kavza	2	0.12		
tımarla	2	0.12		
sifonla	2	0.12		
siperlen	2	0.12		
arakla	2	0.12		
darbele	2	0.12		
dikizle	2	0.12		
ırala	2	0.12		
yelle	2	0.12		
kâğıtla	2	0.12		
eyerle	2	0.12		
rutubetlen	2	0.12		
sümkür	2	0.12		
çırçırla	2	0.12		
anıkla	2	0.12		
şakra	2	0.12		
ödeş	2	0.12		
bekit	2	0.12		
esle	2	0.12		
kocal	2	0.12		
nazmet	2	0.12		
hamlet	2	0.12		
karı	2	0.12		
hırılda	2	0.12		
nasiplen	2	0.12		
çit	1	0.06		
elektrikle	1	0.06		
cıyakla	1	0.06		
sıkıla	1	0.06		
sabreyle	1	0.06		
şarla	1	0.06		
betelen	1	0.06		
hasırla	1	0.06		
apış	1	0.06		
çentikle	1	0.06		
tırpanla	1	0.06		
ilintile	1	0.06		
kahırlan	1	0.06		
karşıtla	1	0.06		
tekerle	1	0.06		
bozla	1	0.06		
ambarla	1	0.06		
kılavuzla	1	0.06		
koltukla	1	0.06		
ahzet	1	0.06		
afişle	1	0.06		
pakla	1	0.06		
kısımla	1	0.06		
akçala	1	0.06		
cıv	1	0.06		
tayla	1	0.06		
açınsa	1	0.06		
mineralleştir	1	0.06		
gemle	1	0.06		
tabakala	1	0.06		
hohla	1	0.06		
minele	1	0.06		
gadret	1	0.06		
tırnakla	1	0.06		
şırla	1	0.06		
sıvala	1	0.06		
soruş	1	0.06		
dumanla	1	0.06		
ayla	1	0.06		
toslaş	1	0.06		
çıtırda	1	0.06		
tomrukla	1	0.06		
harelen	1	0.06		
unla	1	0.06		
cüretlen	1	0.06		
tayyet	1	0.06		
poşetle	1	0.06		
konukla	1	0.06		
camla	1	0.06		
tokmakla	1	0.06		
soyla	1	0.06		
feyzal	1	0.06		
nakşol	1	0.06		
sikkele	1	0.06		
çapraş	1	0.06		
sürüştür	1	0.06		
eğleş	1	0.06		
lağvol	1	0.06		
kılıçla	1	0.06		
harcet	1	0.06		
tünekle	1	0.06		
varakla	1	0.06		
afsunla	1	0.06		
çivitle	1	0.06		
türet	1	0.06		
fışırda	1	0.06		
ötür	1	0.06		
karışla	1	0.06		
hıfzet	1	0.06		
silahla	1	0.06		
zenginle	1	0.06		
durala	1	0.06		
